SEASON,PLAYER_ID_combine,TEAM_ABBREVIATION,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV
2014,203919,MEM,Jordan Adams,SG,75.5,76.75,208.8,82.0,102.0,10.8,8.5,7.5,24.5,29.5,12.13,3.05,3.5,,,,,,,1.0,0.6,1.0,0.6,0.6,0.8,0.6,0.4,0.6,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,0.6,,0.5,0.2,0.6,0.8,0.3,0.4,2.9,1.2,0.40700000000000003,0.8,0.5,0.609,0.3,0.8,3.1,0.9,0.5,0.5
2014,203937,SAS,Kyle Anderson,SF,79.5,80.5,230.1,86.75,107.5,13.35,8.25,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.2,2.0,0.3,0.1,0.273,2.7,0.9,0.348,0.4,0.3,0.643,0.2,0.8,2.2,2.2,0.5,0.3
2014,203648,NYK,Thanasis Antetokounmpo,SF,77.25,78.25,205.2,84.0,104.5,6.05,9.0,9.75,31.5,39.5,11.39,3.05,3.18,,,,,,,0.8,0.4,0.4,0.8,0.4,0.4,0.8,0.6,0.6,0.6,0.6666666666666666,0.8333333333333334,0.5,,,,,0.4,0.0,0.0,0.5,0.5,0.0,0.0,2.0,1.5,0.75,0.0,0.0,0.0,0.0,1.0,3.0,0.5,0.0,0.0
2014,203946,CHI,Cameron Bairstow,PF,80.75,81.75,252.4,84.75,107.0,8.7,8.75,9.0,31.0,33.5,11.39,3.09,3.37,,1.0,0.8,0.8,0.6,0.8,,,,,,0.6,0.8,0.6,0.8,0.2,0.8333333333333334,0.3333333333333333,1.0,,,,0.5675675675675675,,0.1,0.1,0.1,0.0,0.0,0.0,0.8,0.2,0.214,0.3,0.2,0.8,0.3,0.4,0.6,0.4,0.1,0.2
2014,203920,ORL,Khem Birch,PF,79.5,81.25,208.8,85.0,107.0,6.0,9.0,8.5,30.5,35.5,11.6,3.24,3.26,,0.6,0.4,0.4,0.8,0.4,,,,,,0.8,0.4,0.4,0.4,0.2,0.6666666666666666,0.5,0.16666666666666666,,,,0.5,,0.8,0.5,2.6,0.0,0.0,0.0,3.0,1.6,0.54,1.5,1.0,0.6890000000000001,1.7,1.3,4.2,4.3,0.4,0.5
2014,203913,LAL,Jabari Brown,SG,75.0,76.25,201.9,80.25,100.0,6.05,9.0,9.25,28.0,32.0,11.6,3.26,3.5,,,,,,,0.6,0.6,0.6,0.8,0.6,0.6,0.8,0.4,0.6,0.8,0.5,0.8333333333333334,0.6666666666666666,,,,0.5833333333333334,,2.1,0.1,1.7,3.3,1.2,0.371,8.9,3.7,0.41200000000000003,4.5,3.4,0.753,0.2,1.7,11.9,1.9,0.6,1.7
2014,203900,BKN,Markel Brown,SG,74.5,75.5,184.4,80.75,100.0,4.2,8.25,9.75,36.5,43.5,12.62,2.9,3.18,,,,,,,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.2,0.4,0.6,0.8333333333333334,0.8333333333333334,0.5,,,,0.5625,,0.8,0.3,1.9,1.4,0.4,0.266,4.5,1.6,0.36200000000000004,1.2,1.0,0.825,0.3,1.2,4.6,2.3,0.7,0.6
2014,203902,OKC,Semaj Christon,PG,73.5,75.25,186.0,78.5,99.0,5.25,8.5,8.25,30.5,36.5,11.55,3.21,3.32,,,,,,,0.6,0.8,1.0,1.0,0.8,0.6,0.4,0.4,0.4,0.0,0.6666666666666666,0.6666666666666666,0.5,,,,0.6923076923076923,,2.0,0.1,1.1,1.0,0.2,0.19,3.5,1.2,0.345,0.5,0.3,0.5479999999999999,0.3,1.2,2.9,1.4,0.4,0.7
2014,203903,LAL,Jordan Clarkson,PG,75.25,77.0,186.3,80.0,98.0,4.3,8.25,9.0,33.0,38.5,10.76,2.98,3.28,,,,,,,0.6,1.0,1.0,0.8,1.0,0.6,0.6,0.6,0.4,0.4,0.8333333333333334,0.8333333333333334,0.5,,,,0.6666666666666666,,3.5,0.2,2.3,2.1,0.6,0.314,10.1,4.5,0.44799999999999995,2.7,2.2,0.8290000000000001,0.9,1.8,11.9,3.2,0.9,1.6
2014,203915,DET,Spencer Dinwiddie,PG,76.5,78.0,204.9,80.25,103.0,5.35,8.25,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.2,1.3,1.9,0.4,0.185,5.0,1.5,0.302,1.0,0.9,0.912,0.1,1.6,4.3,1.4,0.6,1.0
